"Date","Price","Open","High","Low","Vol.","Change %"
"05/20/2021","351.85","352.27","353.71","351.06","","0.20%"
"05/19/2021","351.15","353.77","354.97","350.82","","-1.37%"
"05/18/2021","356.02","351.50","356.47","351.24","","2.12%"
"05/17/2021","348.63","345.00","349.49","342.29","","0.83%"
"05/14/2021","345.77","351.14","353.90","342.40","","-2.16%"
"05/12/2021","353.42","353.62","355.63","352.49","","-0.70%"
"05/11/2021","355.90","357.41","358.35","355.05","","-1.28%"
"05/10/2021","360.51","363.44","363.67","359.88","","-0.63%"
"05/07/2021","362.79","359.78","363.26","359.30","","1.00%"
"05/06/2021","359.19","357.78","359.77","357.27","","0.70%"
"05/05/2021","356.71","357.15","357.62","355.09","","-0.86%"
"05/04/2021","359.82","360.16","360.56","358.42","","-0.15%"
"05/03/2021","360.36","365.25","365.25","358.49","","-1.21%"
"04/30/2021","364.79","364.62","366.87","364.54","","-0.01%"
"04/29/2021","364.83","365.73","366.95","364.55","","-0.15%"
"04/28/2021","365.39","363.62","365.39","363.62","","0.17%"
"04/27/2021","364.76","363.67","365.42","363.22","","0.24%"
"04/26/2021","363.88","361.96","364.67","361.17","","0.53%"
"04/23/2021","361.97","359.64","361.97","359.10","","0.06%"
"04/22/2021","361.75","360.09","361.84","359.84","","1.19%"
"04/21/2021","357.49","358.45","359.73","356.40","","-1.34%"
"04/20/2021","362.36","364.18","364.60","361.73","","-0.62%"
"04/19/2021","364.62","364.41","365.03","363.48","","0.31%"
"04/16/2021","363.50","361.40","363.50","361.38","","0.63%"
"04/15/2021","361.21","361.49","361.61","359.91","","0.29%"
"04/14/2021","360.18","361.09","361.25","359.48","","-0.25%"
"04/13/2021","361.07","359.64","361.51","359.27","","0.44%"
"04/12/2021","359.50","360.35","360.78","358.20","","-0.38%"
"04/09/2021","360.87","361.26","361.26","359.75","","0.03%"
"04/08/2021","360.76","361.93","362.64","360.60","","-0.29%"
"04/07/2021","361.80","364.34","365.46","361.34","","-0.38%"
"04/06/2021","363.17","364.16","364.25","361.27","","0.07%"
"04/05/2021","362.91","363.45","363.84","362.31","","0.74%"
"04/01/2021","360.23","361.00","361.35","358.67","","0.45%"
"03/31/2021","358.62","362.56","362.56","358.62","","-0.73%"
"03/30/2021","361.24","362.02","362.30","360.25","","0.57%"
"03/29/2021","359.19","358.51","360.35","357.69","","0.46%"
"03/26/2021","357.53","357.04","358.66","356.12","","0.56%"
"03/25/2021","355.54","352.49","356.12","352.49","","0.62%"
"03/24/2021","353.34","352.29","353.64","351.81","","0.13%"
"03/23/2021","352.89","351.94","355.05","351.51","","0.10%"
"03/22/2021","352.53","353.00","355.10","351.87","","-0.29%"
"03/19/2021","353.57","353.21","355.11","352.71","","-0.07%"
"03/18/2021","353.81","354.23","354.97","353.16","","0.69%"
"03/17/2021","351.37","349.52","351.75","349.41","","0.33%"
"03/16/2021","350.20","350.93","351.11","349.26","","-0.01%"
"03/15/2021","350.24","350.88","352.05","348.91","","0.37%"
"03/12/2021","348.95","350.88","351.28","348.43","","-0.27%"
"03/11/2021","349.88","347.36","350.87","346.96","","0.90%"
"03/10/2021","346.77","350.34","350.34","345.85","","-1.17%"
"03/09/2021","350.89","350.55","351.99","349.21","","0.94%"
"03/08/2021","347.63","349.72","350.40","347.37","","0.62%"
"03/05/2021","345.50","344.84","347.30","343.12","","-0.10%"
"03/04/2021","345.84","342.90","345.99","341.96","","0.44%"
"03/03/2021","344.34","342.66","344.34","341.69","","1.15%"
"03/02/2021","340.42","343.39","344.37","339.95","","-0.29%"
"03/01/2021","341.42","337.83","342.14","337.83","","1.06%"
"02/26/2021","337.84","334.89","338.28","334.79","","-0.98%"
"02/25/2021","341.20","338.05","341.50","338.05","","1.94%"
"02/24/2021","334.72","332.14","336.72","332.14","","1.11%"
"02/23/2021","331.06","330.75","333.22","330.42","","0.08%"
"02/22/2021","330.78","331.69","332.61","330.15","","0.10%"
"02/19/2021","330.45","332.02","332.34","328.67","","-0.74%"
"02/18/2021","332.91","334.91","335.00","331.89","","-0.52%"
"02/17/2021","334.65","332.36","335.20","332.12","","-0.16%"
"02/16/2021","335.19","335.63","336.76","335.02","","0.21%"
"02/15/2021","334.49","334.75","336.49","334.31","","0.25%"
"02/11/2021","333.66","332.15","333.72","332.15","","-0.04%"
"02/10/2021","333.80","334.80","335.13","333.06","","-0.12%"
"02/09/2021","334.21","334.75","336.09","332.92","","0.36%"
"02/08/2021","333.00","329.59","333.75","329.31","","1.25%"
"02/05/2021","328.89","329.82","329.90","328.13","","0.06%"
"02/04/2021","328.69","331.77","332.19","326.06","","-0.68%"
"02/03/2021","330.93","331.69","332.62","330.93","","0.21%"
"02/02/2021","330.24","328.24","330.29","327.93","","0.65%"
"02/01/2021","328.10","326.78","328.71","325.10","","-0.17%"
"01/29/2021","328.65","333.88","334.77","326.59","","-0.70%"
"01/28/2021","330.98","334.91","334.91","330.10","","-1.54%"
