"Date","Price","Open","High","Low","Vol.","Change %"
"03/09/2016","1,989.30","1,981.40","1,992.70","1,979.80","","0.51%"
"03/08/2016","1,979.30","1,996.90","1,996.90","1,977.40","","-1.12%"
"03/07/2016","2,001.80","1,996.10","2,006.10","1,989.40","","0.09%"
"03/04/2016","2,000.00","1,994.00","2,009.10","1,986.80","","0.33%"
"03/03/2016","1,993.40","1,985.60","1,993.70","1,977.40","","0.35%"
"03/02/2016","1,986.50","1,976.60","1,986.50","1,968.80","","0.41%"
"03/01/2016","1,978.30","1,937.10","1,978.30","1,937.10","","2.39%"
"02/29/2016","1,932.20","1,947.10","1,958.30","1,931.80","","-0.81%"
"02/26/2016","1,948.00","1,955.00","1,963.00","1,945.80","","-0.19%"
"02/25/2016","1,951.70","1,931.90","1,951.80","1,925.40","","1.13%"
"02/24/2016","1,929.80","1,917.60","1,932.10","1,891.00","","0.44%"
"02/23/2016","1,921.30","1,942.40","1,942.40","1,919.40","","-1.24%"
"02/22/2016","1,945.50","1,924.40","1,946.70","1,924.40","","1.44%"
"02/19/2016","1,917.80","1,916.70","1,918.80","1,902.20","","0.00%"
"02/18/2016","1,917.80","1,927.60","1,930.00","1,915.10","","-0.47%"
"02/17/2016","1,926.80","1,898.80","1,930.70","1,898.80","","1.65%"
"02/16/2016","1,895.60","1,871.40","1,895.80","1,871.40","","1.65%"
"02/12/2016","1,864.80","1,833.40","1,864.80","1,833.40","","1.95%"
"02/11/2016","1,829.10","1,847.00","1,847.00","1,810.10","","-1.23%"
"02/10/2016","1,851.90","1,857.10","1,881.60","1,850.30","","-0.02%"
"02/09/2016","1,852.20","1,848.50","1,868.20","1,834.90","","-0.06%"
"02/08/2016","1,853.40","1,873.20","1,873.20","1,828.50","","-1.41%"
"02/05/2016","1,880.00","1,913.10","1,913.10","1,872.70","","-1.85%"
"02/04/2016","1,915.50","1,911.70","1,927.30","1,900.50","","0.16%"
"02/03/2016","1,912.50","1,907.10","1,918.00","1,872.20","","0.50%"
"02/02/2016","1,903.00","1,935.30","1,935.30","1,897.30","","-1.88%"
"02/01/2016","1,939.40","1,936.90","1,947.20","1,920.30","","-0.04%"
"01/29/2016","1,940.20","1,894.00","1,940.20","1,894.00","","2.47%"
"01/28/2016","1,893.40","1,885.20","1,903.00","1,873.70","","0.55%"
"01/27/2016","1,883.00","1,902.50","1,917.00","1,872.70","","-1.08%"
"01/26/2016","1,903.60","1,878.80","1,906.70","1,878.80","","1.41%"
"01/25/2016","1,877.10","1,906.30","1,906.30","1,876.00","","-1.56%"
"01/22/2016","1,906.90","1,877.40","1,908.80","1,877.40","","2.03%"
"01/21/2016","1,869.00","1,861.50","1,889.80","1,849.00","","0.52%"
"01/20/2016","1,859.30","1,876.20","1,876.20","1,812.30","","-1.17%"
"01/19/2016","1,881.30","1,888.70","1,901.40","1,864.60","","0.05%"
"01/15/2016","1,880.30","1,916.70","1,916.70","1,857.80","","-2.16%"
"01/14/2016","1,921.80","1,891.70","1,934.50","1,878.90","","1.67%"
"01/13/2016","1,890.30","1,940.30","1,950.30","1,886.40","","-2.50%"
"01/12/2016","1,938.70","1,927.80","1,947.40","1,914.30","","0.78%"
"01/11/2016","1,923.70","1,926.10","1,935.70","1,901.10","","0.09%"
"01/08/2016","1,922.00","1,946.00","1,960.40","1,918.50","","-1.09%"
"01/07/2016","1,943.10","1,985.30","1,985.30","1,938.80","","-2.37%"
"01/06/2016","1,990.30","2,011.70","2,011.70","1,979.00","","-1.31%"
"01/05/2016","2,016.70","2,013.80","2,021.90","2,004.20","","0.20%"
"01/04/2016","2,012.70","2,038.20","2,038.20","1,989.70","","-1.53%"
"12/31/2015","2,043.90","2,060.60","2,062.50","2,043.60","","-0.95%"
"12/30/2015","2,063.40","2,077.30","2,077.30","2,062.00","","-0.72%"
"12/29/2015","2,078.40","2,060.50","2,081.60","2,060.50","","1.06%"
"12/28/2015","2,056.50","2,057.80","2,057.80","2,044.20","","-0.22%"
"12/24/2015","2,061.00","2,063.50","2,067.40","2,058.70","","-0.16%"
"12/23/2015","2,064.30","2,042.20","2,064.70","2,042.20","","1.24%"
"12/22/2015","2,039.00","2,023.20","2,042.70","2,020.50","","0.88%"
"12/21/2015","2,021.20","2,010.30","2,022.90","2,005.90","","0.78%"
"12/18/2015","2,005.50","2,040.80","2,040.80","2,005.30","","-1.78%"
"12/17/2015","2,041.90","2,073.80","2,076.40","2,041.70","","-1.50%"
"12/16/2015","2,073.10","2,046.50","2,076.70","2,042.40","","1.45%"
"12/15/2015","2,043.40","2,025.50","2,053.90","2,025.50","","1.06%"
"12/14/2015","2,021.90","2,013.40","2,022.90","1,993.30","","0.47%"
"12/11/2015","2,012.40","2,047.30","2,047.30","2,008.80","","-1.94%"
"12/10/2015","2,052.20","2,047.90","2,067.70","2,045.70","","0.22%"
"12/09/2015","2,047.60","2,061.20","2,080.30","2,036.50","","-0.78%"
"12/08/2015","2,063.60","2,073.40","2,073.80","2,052.30","","-0.65%"
"12/07/2015","2,077.10","2,090.40","2,090.40","2,066.80","","-0.70%"
"12/04/2015","2,091.70","2,051.20","2,093.80","2,051.20","","2.05%"
"12/03/2015","2,049.60","2,080.70","2,085.00","2,042.30","","-1.44%"
"12/02/2015","2,079.50","2,101.70","2,104.30","2,077.10","","-1.10%"
"12/01/2015","2,102.60","2,082.90","2,103.40","2,082.90","","1.07%"
