"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2016","4,937.60","4,960.90","4,960.90","4,893.50","458.80M","-0.53%"
"04/07/2016","4,964.10","4,945.90","4,984.90","4,945.10","491.09M","0.37%"
"04/06/2016","4,945.90","4,924.40","4,958.20","4,906.30","569.34M","0.44%"
"04/05/2016","4,924.40","4,995.30","4,995.30","4,909.10","587.83M","-1.42%"
"04/04/2016","4,995.30","4,999.40","5,046.30","4,995.30","389.51M","-0.08%"
"04/01/2016","4,999.40","5,082.80","5,082.80","4,976.30","579.47M","-1.64%"
"03/31/2016","5,082.80","5,010.30","5,098.20","5,010.30","569.11M","1.45%"
"03/30/2016","5,010.30","5,004.50","5,058.80","4,989.90","546.53M","0.12%"
"03/29/2016","5,004.50","5,084.20","5,095.70","4,998.50","514.37M","-1.57%"
"03/24/2016","5,084.20","5,142.30","5,142.30","5,069.20","699.11M","-1.13%"
"03/23/2016","5,142.30","5,166.60","5,166.60","5,124.00","541.19M","-0.47%"
"03/22/2016","5,166.60","5,161.50","5,181.60","5,152.60","519.63M","0.00%"
"03/21/2016","5,166.60","5,183.10","5,195.70","5,148.60","463.85M","-0.32%"
"03/18/2016","5,183.10","5,168.20","5,216.20","5,168.20","1.30B","0.29%"
"03/17/2016","5,168.20","5,119.00","5,193.50","5,119.00","844.97M","0.96%"
"03/16/2016","5,119.00","5,111.40","5,122.40","5,088.20","604.72M","0.15%"
"03/15/2016","5,111.40","5,185.50","5,185.50","5,106.50","605.08M","-1.43%"
"03/14/2016","5,185.50","5,166.40","5,214.00","5,166.40","560.95M","0.37%"
"03/11/2016","5,166.40","5,150.10","5,181.60","5,118.50","548.43M","0.32%"
"03/10/2016","5,150.10","5,157.20","5,177.20","5,149.70","564.25M","-0.14%"
"03/09/2016","5,157.20","5,108.00","5,157.20","5,081.90","758.41M","0.96%"
"03/08/2016","5,108.00","5,142.80","5,182.50","5,103.40","973.10M","-0.68%"
"03/07/2016","5,142.80","5,090.00","5,151.70","5,090.00","790.05M","1.04%"
"03/04/2016","5,090.00","5,081.10","5,105.00","5,081.10","770.82M","0.18%"
"03/03/2016","5,081.10","5,021.20","5,081.10","5,021.20","882.06M","1.19%"
"03/02/2016","5,021.20","4,922.30","5,047.00","4,922.30","829.74M","2.01%"
"03/01/2016","4,922.30","4,880.90","4,931.70","4,868.10","800.84M","0.85%"
"02/29/2016","4,880.90","4,880.00","4,925.70","4,878.80","789.30M","0.02%"
"02/26/2016","4,880.00","4,881.20","4,897.10","4,838.30","692.49M","-0.02%"
"02/25/2016","4,881.20","4,875.00","4,902.00","4,844.30","768.54M","0.13%"
"02/24/2016","4,875.00","4,979.60","4,979.60","4,861.90","733.29M","-2.10%"
"02/23/2016","4,979.60","5,001.20","5,035.60","4,969.40","760.54M","-0.43%"
"02/22/2016","5,001.20","4,952.80","5,007.40","4,949.20","660.69M","0.98%"
"02/19/2016","4,952.80","4,992.00","4,992.00","4,937.00","678.87M","-0.79%"
"02/18/2016","4,992.00","4,882.10","4,992.60","4,882.10","880.21M","2.25%"
"02/17/2016","4,882.10","4,910.00","4,926.30","4,869.70","727.09M","-0.57%"
"02/16/2016","4,910.00","4,843.50","4,910.00","4,814.10","807.60M","1.37%"
"02/15/2016","4,843.50","4,765.30","4,853.90","4,765.30","633.82M","1.64%"
"02/12/2016","4,765.30","4,821.10","4,821.10","4,760.30","694.40M","-1.16%"
"02/11/2016","4,821.10","4,775.70","4,821.10","4,770.70","604.28M","0.95%"
"02/10/2016","4,775.70","4,832.10","4,852.40","4,706.70","810.59M","-1.17%"
"02/09/2016","4,832.10","4,975.40","4,975.40","4,826.90","793.92M","-2.88%"
