"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2019","1,918.64","1,908.78","1,924.41","1,901.00","33.64M","0.12%"
"02/20/2019","1,916.40","1,903.85","1,922.27","1,902.48","39.64M","1.30%"
"02/19/2019","1,891.84","1,895.11","1,899.64","1,879.51","23.89M","-0.43%"
"02/18/2019","1,899.99","1,899.52","1,909.28","1,891.25","29.93M","0.62%"
"02/17/2019","1,888.28","1,888.28","1,888.28","1,888.28","","0.00%"
"02/15/2019","1,888.28","1,907.83","1,907.83","1,879.96","34.84M","-1.86%"
"02/14/2019","1,924.00","1,891.21","1,924.00","1,883.15","49.56M","1.50%"
"02/13/2019","1,895.65","1,897.62","1,901.14","1,890.14","37.94M","0.44%"
"02/12/2019","1,887.42","1,873.72","1,891.73","1,868.12","39.29M","0.70%"
"02/11/2019","1,874.30","1,869.56","1,874.55","1,858.11","36.37M","0.26%"
"02/10/2019","1,869.36","1,869.36","1,869.36","1,869.36","","0.00%"
"02/08/2019","1,869.36","1,887.48","1,888.50","1,866.30","36.13M","-1.66%"
"02/07/2019","1,900.95","1,914.98","1,916.39","1,898.52","38.81M","-0.11%"
"02/06/2019","1,903.00","1,903.00","1,903.00","1,903.00","","0.00%"
"02/01/2019","1,903.00","1,911.85","1,922.33","1,900.29","40.39M","0.01%"
"01/31/2019","1,902.81","1,924.09","1,925.93","1,902.81","57.41M","-0.39%"
"01/30/2019","1,910.25","1,881.33","1,910.25","1,876.78","47.07M","1.40%"
"01/29/2019","1,883.79","1,867.70","1,883.79","1,858.95","37.92M","0.65%"
"01/28/2019","1,871.68","1,878.14","1,884.26","1,863.24","41.59M","-0.01%"
"01/27/2019","1,871.84","1,871.84","1,871.84","1,871.84","","0.00%"
"01/25/2019","1,871.84","1,841.56","1,871.84","1,840.68","50.99M","2.05%"
"01/24/2019","1,834.19","1,815.45","1,834.19","1,813.37","41.45M","1.25%"
"01/23/2019","1,811.48","1,795.90","1,817.22","1,792.83","32.49M","0.28%"
"01/22/2019","1,806.43","1,815.23","1,818.66","1,797.40","31.72M","-0.49%"
"01/21/2019","1,815.26","1,820.23","1,821.83","1,801.03","35.46M","0.09%"
"01/20/2019","1,813.66","1,813.66","1,813.66","1,813.66","","0.00%"
"01/18/2019","1,813.66","1,808.68","1,815.37","1,806.67","31.82M","0.63%"
"01/17/2019","1,802.28","1,796.47","1,808.82","1,793.92","35.99M","0.44%"
"01/16/2019","1,794.46","1,784.17","1,794.86","1,776.94","28.95M","0.55%"
"01/15/2019","1,784.62","1,752.18","1,784.71","1,749.78","32.85M","2.06%"
"01/14/2019","1,748.57","1,759.75","1,762.83","1,743.13","30.65M","-1.00%"
"01/13/2019","1,766.31","1,766.31","1,766.31","1,766.31","","0.00%"
"01/11/2019","1,766.31","1,761.74","1,768.84","1,755.43","32.08M","0.67%"
"01/10/2019","1,754.61","1,753.72","1,761.91","1,748.00","45.05M","0.14%"
"01/09/2019","1,752.09","1,718.42","1,754.38","1,717.53","43.19M","2.50%"
"01/08/2019","1,709.31","1,716.59","1,729.81","1,707.42","41.10M","-0.72%"
"01/07/2019","1,721.79","1,717.45","1,730.10","1,715.12","45.41M","1.49%"
"01/06/2019","1,696.43","1,696.43","1,696.43","1,696.43","","0.00%"
"01/04/2019","1,696.43","1,683.37","1,697.42","1,676.71","42.60M","0.73%"
"01/03/2019","1,684.17","1,699.38","1,704.72","1,681.52","38.47M","-1.00%"
"01/02/2019","1,701.16","1,732.45","1,735.81","1,696.01","29.72M","-1.28%"
"01/01/2019","1,723.22","1,723.22","1,723.22","1,723.22","","0.00%"
"12/28/2018","1,723.22","1,721.81","1,729.41","1,718.64","28.28M","0.52%"
"12/27/2018","1,714.23","1,725.39","1,725.91","1,709.61","36.85M","-0.41%"
"12/26/2018","1,721.33","1,718.28","1,729.27","1,710.85","40.26M","-1.07%"
"12/25/2018","1,740.00","1,740.00","1,740.00","1,740.00","","0.00%"
"12/24/2018","1,740.00","1,731.88","1,743.82","1,727.94","27.46M","-0.11%"
"12/23/2018","1,741.89","1,741.89","1,741.89","1,741.89","","0.00%"
"12/21/2018","1,741.89","1,729.84","1,741.89","1,726.36","43.20M","0.16%"
"12/20/2018","1,739.15","1,742.25","1,750.90","1,730.32","37.16M","-1.10%"
"12/19/2018","1,758.50","1,747.15","1,759.84","1,743.44","33.68M","0.92%"
"12/18/2018","1,742.53","1,736.05","1,753.12","1,733.67","36.64M","-0.42%"
"12/17/2018","1,749.85","1,743.57","1,756.71","1,740.75","33.09M","0.33%"
"12/16/2018","1,744.10","1,744.10","1,744.10","1,744.10","","0.00%"
"12/14/2018","1,744.10","1,776.59","1,776.59","1,736.91","47.51M","-1.70%"
"12/13/2018","1,774.29","1,775.57","1,787.57","1,769.19","72.67M","0.16%"
"12/12/2018","1,771.39","1,755.13","1,774.29","1,753.12","40.45M","1.36%"
"12/11/2018","1,747.62","1,755.09","1,755.59","1,742.35","36.23M","-0.22%"
"12/10/2018","1,751.51","1,749.05","1,755.17","1,740.59","39.05M","-1.18%"
"12/09/2018","1,772.38","1,772.38","1,772.38","1,772.38","","0.00%"
"12/07/2018","1,772.38","1,775.98","1,780.61","1,764.91","31.16M","0.45%"
"12/06/2018","1,764.37","1,782.57","1,782.94","1,761.58","39.80M","-1.66%"
"12/05/2018","1,794.16","1,781.45","1,799.86","1,781.10","31.82M","-0.70%"
"12/04/2018","1,806.77","1,819.85","1,823.11","1,798.73","38.31M","-1.21%"
"12/03/2018","1,828.87","1,825.26","1,835.03","1,812.12","36.04M","1.85%"
"12/02/2018","1,795.70","1,795.70","1,795.70","1,795.70","","0.00%"
"11/30/2018","1,795.70","1,821.06","1,829.50","1,792.73","55.23M","-1.24%"
"11/29/2018","1,818.27","1,838.81","1,841.86","1,812.92","33.99M","0.23%"
"11/28/2018","1,814.10","1,808.22","1,815.08","1,800.08","32.00M","0.48%"
